ad_id,광고주,구분,이미지파일명,이미지URL,소재유형,보종,소구포인트,요약,광고텍스트,광고시작일,광고종료일,광고상세URL,수집일,최초발견일,상태,운영일수,레이아웃,인물노출,제품노출,텍스트밀도,제작방식,비주얼스타일,퍼널단계,오퍼,긴급성
001822221987856aa7b0e37a098989cc,펫퍼민트,경쟁사,001822221987856aa7b0e37a098989cc.jpg,https://lh3.googleusercontent.com/d/1H7e1mU4mfF5VS655QVFcPH2GrAD6VhyH,브랜딩,펫보험,상품신뢰,메리츠 펫보험 가입 시 포인트 지급,"국내 1위 메리츠 펫보험!
신규 가입 고객 대상 네이버페이 포인트 최대 3만원 지급
(월 3만원 이상 가입, 2회차 보험료 납입 시)

🎉 가입건수 13만 돌파! (18~25년 계약건수 기준)
👑 6년 연속 1위 유지 (18~23년 원수보험료 기준)
📇 국내최초 현장청구 (전국 600여개 제휴병원)
📱 보험료만 선택하세요! 간편한 온라인 가입

💜이번 달 가입 혜택 꼭 확인해 보세요💜

준법감시인 심의필 제2026-광고-676호(2026.03.30~2027.03.29)
MSTORE.MERITZFIRE.COM
메리츠화재 펫보험
보험료 알아보기",2026-06-18,2026-07-07,https://www.facebook.com/ads/library/?id=1281794337359006,2026-07-07,2026-06-19,종료,98,,,,,,,,,
001e052f581429eba5fa9399c656ffad,한화생명,경쟁사,001e052f581429eba5fa9399c656ffad.jpg,https://scontent-sjc3-1.xx.fbcdn.net/v/t39.35426-6/700723188_1197385892402505_8265332788889126947_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=103&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=LIr6FknMyMYQ7kNvwGWxvif&_nc_oc=AdpYN35uksR8dwQDFM-wb7huPcJwLQFRvupQYedS5y0rjIXWF992u2rZPnjL-zd3jZ8&_nc_zt=14&_nc_ht=scontent-sjc3-1.xx&_nc_gid=5shRk5NqDICcw0d-ihmp0w&_nc_ss=7f289&oh=00_Af9w5HUAR5MV7FGFCSr_s6fs10I09Mc2oMLuxVeu6f_sYw&oe=6A348305,기타,기타,상품신뢰,정보 없음,,2026-05-13,2026-06-15,https://www.facebook.com/ads/library/?id=1793537092054694,2026-06-14,2026-06-14,종료,134,,,,,,,,,
0040c82cd03c848cb3cb2a93b8e044a3,펫퍼민트,경쟁사,0040c82cd03c848cb3cb2a93b8e044a3.jpg,https://lh3.googleusercontent.com/d/1MVC19NxXhDW_DrU9mSuoJUECWEl7KRLp,브랜딩,펫보험,정서유도,반려견과 엄마의 두려움을 덜어주는 펫보험,"#광고 동물병원은 나두 엄마두 무서워하는데, 펫보험 덕분에 우리 엄마의 무서움을 덜 수 있게 됐어요. 다견가정에게 펫보험은 진짜 필수 알죠?!

많은 반려인들이 선택한 1위 보험(18~23년 원수 보험료 기준),
메리츠화재
댓글로 🐾메리츠펫보험!!🐾
남겨주시면 펫보험 관련 내용 보내드릴게요!

- 손해보험협회 심의필 제
168741호(2026.01.19~2027.01.18)
MSTORE.MERITZFIRE.COM
sa.ta.nu",2026-09-17,,https://www.facebook.com/ads/library/?id=4142445286053346,2026-09-24,2026-09-18,운영중,7,,,,,,,,,
00b5fb0e9010c0b59620483f0f0ea949,한화생명,경쟁사,00b5fb0e9010c0b59620483f0f0ea949.jpg,https://lh3.googleusercontent.com/d/1AoaVE5p5AR4lhstBkqhRK3kL4hG6QL0f,특약,기타,대비유도,평생 남는 자산 종신보험 사망보장,"정해진 기한이 아닌, 끝까지 남는 자산!
평생 약속된 사망보장
DIRECT.HANWHALIFE.COM
한화생명 다이렉트 종신보험
• 가입금액의 300% 보장(15년납기준) • 연금 전환으로 노후 생활 대비 • 연금 전환 후에도 사망보장 가능 • 유연한 자금 활용",2026-06-21,2026-06-30,https://www.facebook.com/ads/library/?id=1014846174256682,2026-06-30,2026-06-27,종료,95,,,,,,,,,
00ce532008972d0f7eed6808e2308772,라이나생명,경쟁사,00ce532008972d0f7eed6808e2308772.jpg,https://lh3.googleusercontent.com/d/1V5hTiHmhsYaqlfhwSIezBVKyDUqdWM9h,특약,치아보험,경제적혜택,치아보험 할인과 상품권 증정 혜택,"💡 치아보험, 합리적으로 준비 해야죠!

다이렉트니까 매월 보험료 3% 할인 받고,
직접 가입하니 설계사 수수료 없어 보험료는 알뜰하게
거기다 가입 시 신세계 상품권 최대 3만 원 증정까지!

지금 바로 라이나생명 다이렉트와 함께하세요 😊

#치아보험 #보철치료(특약) #충전치료 #임플란트(특약)(임플란트/브릿지 연간 3개한, 틀니 연간 1회한)

(무)라이나다이렉트치아보험Ⅱ(갱신형)
가입 후 91일부터 보장, 충전, 크라운1년 이내 치료 시 50% 보장, 보철치료는 2년 이내 영구치 발치 시 50% 보장

*연령별 보험료 비교 시, 보험료 인하 폭 상이
*갱신 시 보험료가 인상될 수 있습니다.
*계약 체결 전 상품설명서 및 약관 참조
*기존 계약 해지 후 신계약을 체결 시 보험인수가 거절되거나 보험료가 인상되거나 보장내용이 달라질 수 있음

*생명보험협회 심의필 제2026-05193호(2026-06-01~ 2027-05-31)
DIRECT.LINA.CO.KR
할인에 진심인 치아보험
라이나생명다이렉트 치아보험
가입하기",2026-06-10,2026-08-24,https://www.facebook.com/ads/library/?id=2495886734245812,2026-07-26,2026-06-15,종료,106,,,,,,,,,
00d9be0fc078e75b91557ef4c174eba0,삼성화재 다이렉트 착,경쟁사,00d9be0fc078e75b91557ef4c174eba0.jpg,https://lh3.googleusercontent.com/d/1IOaYh58znywIArsfUM8Ag-aeb0BIFov9,브랜딩,자동차보험,대비유도,졸음운전 신호 확인하고 주의하세요,"🚨운전 중 이런 증상! 졸음운전 주의🚨

신호운전 중 ‘이 증상’이 나타난다면
이미 졸음운전 조심해야 해요!

단 1초의 졸음이 얼마나 위험한지,
그리고 졸음운전 전에 나타나는 신호는 무엇인지 확인해 보세요. 👉

*해당 콘텐츠의 일부 이미지 요소는 생성형 AI를 활용해 제작되었습니다.

#졸음운전 #졸음운전예방 #고속도로안전 #졸음쉼터 #휴게소 #위드라이브 #삼성화재다이렉트 #삼성화재다이렉트착 #자동차보험 #운전꿀팁 #안전운전
INSTAGRAM.COM
삼성화재 다이렉트 착 (@direct_samsungfire) • Instagram photos and videos
Learn More

INSTAGRAM.COM
삼성화재 다이렉트 착 (@direct_samsungfire) • Instagram photos and videos
Learn More

INSTAGRAM.COM
삼성화재 다이렉트 착 (@direct_samsungfire) • Instagram photos and videos
Learn More

INSTAGRAM.COM
삼성화재 다이렉트 착 (@direct_samsungfire) • Instagram photos and videos
Learn More

INSTAGRAM.COM
삼성화재 다이렉트 착 (@direct_samsungfire) • Instagram photos and videos",2026-09-03,2026-09-10,https://www.facebook.com/ads/library/?id=1759663042157045,2026-09-09,2026-09-04,종료,21,,,,,,,,,
01090120f45c50809a1013d7b6a406c9,한화손보 TM,경쟁사,01090120f45c50809a1013d7b6a406c9.jpg,https://lh3.googleusercontent.com/d/1SFN4ngthPuuK2qlHAo2TO6NjC2aoquKs,기타,암보험,가입유도,60·70대도 든든한 암보험,"60세에도, 70세에도 암 보장은 든든하게! 한화손보 100세암치료보장보험 지금 바로 확인해 보세요.
간편하게 보험료 알아보기
한화100세암치료보장보험",2026-08-30,2026-09-09,https://www.facebook.com/ads/library/?id=1602010491522826,2026-09-07,2026-08-27,종료,25,,,,,,,,,
0132490b0400edebd8145b0448993277,현대해상,경쟁사,6098fdf3f798cac886943914ace4738c.jpg,https://scontent-ssn1-1.xx.fbcdn.net/v/t39.35426-6/696270158_2663053704088764_710508011766850669_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=102&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=4fg3DlMsc7MQ7kNvwEll2ML&_nc_oc=AdpiAlvW7d5vz_h9cpSvdlUIbqvT7VQ5IqTgFlgVJz6BRZ0Dm_B9GjIB4lJdCTvM5kM&_nc_zt=14&_nc_ht=scontent-ssn1-1.xx&_nc_gid=FIrsDtnEWNzf1iQ3TWJCew&_nc_ss=7f289&oh=00_Af8njtm3nvOunzWuKnc_kRa0gO-ZqSu1h3x0nWSqDppqzg&oe=6A333A42,브랜딩,태아보험,가입유도,태아보험 가입 시 육아 혜택,"🧚‍♂️태아보험 임신 축하 프로모션
가입시 육아 필수템과 산모보험 지원 혜택
혜택 소진 전에 지금 문의하세요
FB.ME
가입시 인기 육아필수템과 산모보험 혜택이?!",2026-05-13,2026-06-13,https://www.facebook.com/ads/library/?id=2079488705958118,2026-06-14,2026-06-13,종료,32,,,,,,,,,
0156150aea6b0d050f1e99753eadc842,한화생명,경쟁사,0156150aea6b0d050f1e99753eadc842.jpg,https://lh3.googleusercontent.com/d/1ARt9nv9aHGFdGHgYQc74f82zGBbk1zam,브랜딩,기타,정서유도,한화생명 대전 지하철 감성 콘텐츠,"테오 : 대전 지하철, 꼭 보셔야 하는게 있습니다😎​

대전 지하철에서는 기분좋은 00과 00 소리가 난다 🎶​​

대전 지하철의 감성 서비스가 궁금하다면?
지금 바로 한화생명 유튜브에서 확인해 보세요!​​

#한화생명 #한화이글스 #한화생명볼파크 #야구
#시그니처로드 #피원하모니 #테오 #대전​
WWW.INSTAGRAM.COM
한화생명
동영상 더 보기",2026-06-15,2026-06-22,https://www.facebook.com/ads/library/?id=1519808032891113,2026-06-21,2026-06-17,종료,101,,,,,,,,,
01e012a7d07719fd99fbab7bda4d3f82,DB손해보험다이렉트,경쟁사,01e012a7d07719fd99fbab7bda4d3f82.jpg,https://lh3.googleusercontent.com/d/1wSlFppY-hkDtNPOZvXY4o0RH47KtU3zc,특약,자동차보험,상품신뢰,보행자 사고 변호사비 지원 특약,"DB 다이렉트 보행자 사고 변호사 자문 비용 지원 특약 (25.08.21일 이후 책임개시계약)
노출수가 적음
🎉 한문철 변호사 X DB 다이렉트 신규 특약 출시 🎉
DB 다이렉트 보행자 사고 변호사 자문 비용 지원 특약 (25.08.21일 이후 책임개시계약)",2026-09-15,,https://www.facebook.com/ads/library/?id=28664529486478343,2026-09-24,2026-09-16,운영중,9,,,,,,,,,
